id,Area,X,Y,20200206,20200327,20200605,20200710,20200819,20200928,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12
0,463.59,353881.409,4610595.718,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1554,1968,2094,2052,2738,2967,3105,3102,2436,2009
1,316.48,353948.21,4610822.406,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,724,1322,1272,1688,2264,2517,2778,2613,2018,1463
2,53.3,353934.862,4610798.209,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,703,1178,1218,1225,2258,2453,3024,2526,1707,1208
3,20.45,353996.573,4610739.601,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,603,795,749,1410,2414,2559,3330,2743,2138,1553
4,100.1,354008.938,4610731.489,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1310,1484,1586,1709,2448,2787,3228,3093,2388,1694
5,77.66,353995.819,4610709.517,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,879,1206,1638,1592,2413,2814,2876,2874,2647,2140
6,187.53,354077.713,4610823.775,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,572,878,1014,1680,2320,2418,2435,2465,2279,1751
7,23.55,354069.869,4610808.0,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,630,1015,1216,1507,2115,2299,2490,2414,1847,1314
8,213.54,354172.53,4610853.384,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,713,1096,867,1544,1685,1972,1482,2079,1785,1413
9,107.1,354052.739,4611027.357,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1372,1528,1714,1607,2243,2529,2824,2769,2310,1678
10,94.65,353970.383,4611014.122,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1162,1130,1298,1797,2325,2741,3196,3055,2995,2548
11,146.3,353991.785,4611014.558,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1232,1502,1396,1571,2251,2664,2412,2858,2176,1440
12,90.51,354464.291,4611080.544,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,927,1290,1406,1293,1899,2207,2164,2323,2081,1539
13,100.91,354377.255,4611231.836,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,819,1013,977,1622,2951,3223,4096,3499,2144,1407
14,19.39,354387.683,4611238.302,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,523,913,850,1543,3328,3583,4328,3917,2178,1368
15,144.24,353312.08,4610514.356,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1968,1912,2178,1924,2418,2634,3493,2928,2475,1942
16,19.08,353209.644,4610826.375,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1054,1332,1874,1451,1750,1518,2446,1590,2148,2198
17,97.08,353220.474,4610822.554,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,907,1100,1174,1399,1673,1639,1456,1698,2480,2509
18,87.74,353131.318,4610836.072,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1394,1620,1898,1726,1759,2040,2517,2075,2419,2267
19,88.6,353050.336,4610836.96,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1276,1626,1884,1831,1890,2071,2334,2101,2482,2341
20,157.01,352931.074,4610821.209,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1015,843,969,1737,2261,2409,2062,2497,1976,1414
21,174.55,352825.091,4610867.219,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1608,1676,1874,1524,1835,1544,2580,1737,1429,1266
22,73.04,353067.643,4610659.61,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1120,1534,1616,1734,2042,2277,2674,2492,2197,1776
23,26.48,353119.438,4610631.923,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,829,1350,1594,1375,1702,1867,2264,2026,1539,1178
24,39.74,353159.69,4610633.34,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,683,999,1152,1311,2149,2555,2466,2643,1987,1427
25,26.96,353133.279,4610602.88,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,577,675,528,1088,1910,2208,2588,2256,1671,1101
26,27.35,353058.002,4610574.574,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,720,964,1022,1513,2507,2958,2952,3002,2610,1949
27,30.45,353073.391,4610573.657,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,943,1218,1360,1611,2357,2735,2798,2989,2634,2056
28,32.68,353019.689,4610579.131,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1176,1260,1480,1299,1700,1879,2238,2010,1916,1645
29,20.69,352996.155,4610581.807,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1368,1526,1664,1381,2137,2205,2564,2145,1890,1465
30,108.61,352830.148,4610550.242,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1176,1288,1158,1669,2422,2809,2806,2768,2326,1686
31,71.85,352761.027,4610536.849,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,729,1138,1302,1932,2408,2581,2974,2691,2354,1899
32,165.96,352989.349,4610413.625,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1372,1516,1668,1491,1958,2550,2592,2304,2309,1640
33,88.61,353136.498,4610332.722,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1316,1378,1460,1524,1951,2134,2410,2135,2033,1572
34,272.57,353243.532,4610341.029,LLENA,LLENA,LLENA,LLENA,LLENA,LLENA,2424,2340,1806,2090,2399,2552,2567,2526,2135,1606
35,17.29,353357.8,4610611.679,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,601,960,1019,1761,2352,2573,2888,2355,2182,1740
36,173.23,353366.943,4610597.495,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,805,1192,1066,1534,2654,2650,2963,2880,1955,1539
37,178.1,353530.936,4610473.541,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1836,2430,1522,1702,2413,2522,2504,2440,2075,1551
38,16.84,353544.581,4610483.682,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,791,1202,1344,2100,2595,2931,3356,3029,2291,1757
39,124.5,353628.683,4610414.093,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,933,1068,1136,1799,2744,3151,4084,3600,2282,1599
40,18.22,353629.565,4610421.678,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1110,1148,1086,2024,2833,3074,3973,3201,2419,1829
41,291.83,353638.762,4610668.759,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1600,2214,2278,2178,2330,2343,2414,2500,2351,1806
42,84.93,353623.057,4610679.751,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1802,2100,2132,2999,3642,3602,3938,3718,3518,2984
43,89.12,353642.131,4610774.237,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,1084,1168,1010,783,750,957,2248,998,1264,859
44,154.75,353552.45,4611042.266,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,877,1360,1600,1262,1558,1811,2092,1882,2019,1568
45,128.35,353577.865,4611135.747,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1504,1834,2028,2208,2569,2343,2635,2252,2763,2322
46,98.28,353421.766,4611136.367,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,1870,1984,2094,1862,2157,2170,2940,2138,2227,2023
47,39.19,353544.061,4611230.715,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,858,1122,1104,1186,1472,1683,2530,1835,1584,1125
48,176.86,353521.357,4611229.9,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1176,1384,1310,1171,1334,1742,2474,1813,1767,1224
49,206.9,353408.682,4611360.041,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1500,1890,2030,2469,2502,2743,2758,2917,2970,2540
50,159.67,353146.681,4611143.438,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,735,1010,909,1229,1753,2067,2374,2130,1409,1030
51,80.89,353182.078,4611149.225,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,254,378,301,619,810,660,543,615,773,582
52,36.36,353066.922,4611174.041,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1316,1250,1628,1718,2342,2229,2708,2223,1930,1609
53,285.58,353071.25,4611071.55,VACIA,VACIA,LLENA,LLENA,VACIA,VACIA,2142,2418,2474,2067,2202,2677,3277,2851,3027,2470
54,35.5,353058.079,4611085.157,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2266,3144,3848,2939,3219,3222,4720,3281,3723,3304
55,201.29,353133.869,4611372.578,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1942,1802,1616,1693,2557,2689,3002,2825,2212,1572
56,124.63,353001.424,4611474.196,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,832,1208,968,1378,2198,2574,2250,2777,2407,1871
57,21.22,352949.87,4611458.994,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1013,1500,1688,2235,3242,3204,3834,3208,3518,2948
58,21.12,352957.269,4611448.362,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,998,1118,1334,2041,3021,3361,3357,3453,2896,2185
59,21.29,352943.856,4611451.506,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1284,1606,1730,2041,3021,3361,3780,3453,2896,2185
60,16.81,352936.198,4611447.294,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1792,2486,3138,3230,3386,3431,4584,3578,3633,3277
61,18.1,352930.53,4611437.87,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1302,1824,2186,3230,3386,3431,3914,3578,3633,3277
62,23.42,352936.005,4611432.014,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,785,1086,1374,1469,2419,2647,2432,2877,2408,1757
63,20.73,352921.836,4611418.934,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,391,767,775,1469,2419,2647,2984,2877,2408,1757
64,54.06,352886.985,4611381.78,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,749,893,817,1531,2229,2684,3642,3127,2331,1788
65,9.92,352906.806,4611393.112,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,615,839,1030,796,1514,1677,2566,1767,1944,1461
66,9.24,352902.495,4611387.067,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,615,839,1030,796,1514,1677,2566,1767,1944,1461
67,7.99,352898.345,4611381.008,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,604,795,677,1531,2229,2684,3132,3127,2331,1788
68,8.12,352889.157,4611369.207,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,776,752,749,933,1252,1476,2440,1799,1881,1611
69,8.33,352884.781,4611362.307,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,552,844,948,933,1252,1476,1924,1799,1881,1611
70,65.24,352853.216,4611348.959,VACIA,LLENA,LLENA,LLENA,LLENA,VACIA,1136,991,944,1753,2818,3129,3382,3325,3190,2878
