id,Area,X,Y,20200206,20200327,20200605,20200710,20200819,20200928,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12
690,112.07,355032.444,4611182.571,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,2223,2023,1725,1810,2020,2076,1966,2167,1888,1542
691,29.51,355029.229,4611168.417,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2290,2482,2381,2559,2855,3273,3242,3433,2815,2131
692,64.59,355864.096,4610863.002,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,2962,2656,2648,2080,2167,2237,2527,2131,2296,1874
693,99.3,355872.172,4610834.047,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2197,2058,2009,2093,2243,2490,2100,2590,2415,1933
694,77.24,355664.469,4611065.923,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,1231,1282,1291,1518,1600,1729,1494,2103,2044,1688
695,8.46,356342.712,4610923.713,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1586,1643,2008,1899,2143,2494,2710,2622,2997,2711
696,374.42,357972.204,4611504.214,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,3129,2020,1553,1728,2567,3078,1817,3133,2249,1367
697,90.92,357985.046,4611492.648,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,3092,2092,2199,2009,2679,3054,1784,3439,2416,1456
698,94.4,358144.414,4611618.988,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1617,1478,1514,1592,2581,3100,2887,3538,2239,1237
699,462.77,357909.23,4611756.213,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2597,2008,2311,1805,2718,3243,2370,3288,2357,1658
700,193.78,357939.634,4611787.644,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1369,1310,1010,1229,2488,3017,2946,3414,1806,938
701,66.87,358010.102,4610554.44,VACIA,VACIA,LLENA,VACIA,VACIA,VACIA,2037,1883,1936,1848,2361,2675,2539,2881,2709,1932
702,14.13,358097.566,4610601.431,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1417,1411,1707,2144,2437,2571,2480,2734,3008,2470
703,62.51,358105.793,4610893.283,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,2321,2374,2726,2852,3073,3147,2719,3305,3391,2704
