id,Area,X,Y,20200206,20200327,20200605,20200710,20200819,20200928,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12
0,463.59,353881.409,4610595.718,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1672,2024,1564,1931,2640,2877,3084,2900,2378,1922
1,316.48,353948.21,4610822.406,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,843,1248,1042,1527,2077,2359,2866,2326,1880,1435
2,53.3,353934.862,4610798.209,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,631,966,955,1108,1642,1644,2316,1808,1394,957
3,20.45,353996.573,4610739.601,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,348,609,598,1062,1790,1793,2424,1983,1545,1166
4,100.1,354008.938,4610731.489,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1040,1086,1062,1239,1839,2228,2412,2386,1788,1271
5,77.66,353995.819,4610709.517,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,738,1064,1386,1282,1887,1989,2258,2107,2251,1789
6,187.53,354077.713,4610823.775,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,379,731,945,1409,1920,1966,2046,1996,1851,1395
7,23.55,354069.869,4610808.0,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,451,896,957,1057,1469,1757,1984,1975,1353,1033
8,213.54,354172.53,4610853.384,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,528,778,701,1086,1377,1463,1010,1523,1462,1162
9,107.1,354052.739,4611027.357,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1064,1268,1476,1289,1671,2114,2342,2204,1876,1336
10,94.65,353970.383,4611014.122,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,771,874,869,1311,1984,2095,2196,2347,2504,2274
11,146.3,353991.785,4611014.558,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1070,1150,1170,1321,1829,2007,1862,2294,1947,1344
12,90.51,354464.291,4611080.544,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,838,1013,1066,1140,1440,1468,1692,1568,1753,1262
13,100.91,354377.255,4611231.836,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,217,479,374,773,1322,1345,1510,1500,1412,1040
14,19.39,354387.683,4611238.302,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,317,583,565,925,1916,2264,1770,2461,1745,1325
15,144.24,353312.08,4610514.356,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1842,1598,1778,1521,1971,2104,2836,2250,1875,1369
16,19.08,353209.644,4610826.375,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,383,558,988,800,894,809,1316,818,1283,1190
17,97.08,353220.474,4610822.554,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,207,317,400,905,1059,968,487,1020,1582,1506
18,87.74,353131.318,4610836.072,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,838,1246,1470,1190,1238,1401,1848,1480,1759,1681
19,88.6,353050.336,4610836.96,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,782,1130,1422,1285,1281,1544,1732,1596,1879,1792
20,157.01,352931.074,4610821.209,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,792,786,620,1378,1797,2016,2092,2156,1610,1249
21,174.55,352825.091,4610867.219,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,927,1202,1230,1034,1055,992,1470,1013,912,817
22,73.04,353067.643,4610659.61,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,880,1052,1400,978,1303,1397,2208,1579,1420,1096
23,26.48,353119.438,4610631.923,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,574,766,1102,1175,1495,1699,1958,1682,1408,999
24,39.74,353159.69,4610633.34,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,645,791,793,987,1554,1708,1668,1954,1674,1253
25,26.96,353133.279,4610602.88,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,246,482,464,1004,1628,1789,2278,1955,1417,1044
26,27.35,353058.002,4610574.574,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,500,759,1021,1178,1805,1916,2230,2147,2363,2019
27,30.45,353073.391,4610573.657,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,618,1044,1268,1305,1875,2133,2286,2218,2421,1923
