id,Area,X,Y,20200206,20200327,20200605,20200710,20200819,20200928,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12
0,463.59,353881.409,4610595.718,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2001,2088,2024,2180,3359,3732,3315,3667,2645,2038
1,316.48,353948.21,4610822.406,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1288,1384,1193,1750,2710,2960,2978,2863,2082,1460
2,53.3,353934.862,4610798.209,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1141,1287,1273,1673,2635,3151,3380,3433,2085,1258
3,20.45,353996.573,4610739.601,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1155,1256,1099,1647,2679,3039,3257,3455,2447,1639
4,100.1,354008.938,4610731.489,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1976,1767,1739,1981,3161,3659,3330,4026,2889,1972
5,77.66,353995.819,4610709.517,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,1733,1736,2127,2052,3085,3541,3461,3846,2786,2130
6,187.53,354077.713,4610823.775,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1043,1218,1241,1890,2760,2857,2960,2897,2584,1725
7,23.55,354069.869,4610808.0,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1247,1344,1313,1525,2727,3130,3065,3449,2267,1446
8,213.54,354172.53,4610853.384,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1287,1318,1157,1609,2126,2343,1577,2323,1991,1595
9,107.1,354052.739,4611027.357,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1759,1763,1802,1852,2683,3083,3135,3308,2597,1802
10,94.65,353970.383,4611014.122,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1680,1498,1719,1844,2491,3084,3178,3578,3225,2539
11,146.3,353991.785,4611014.558,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1417,1590,1343,1649,2553,3036,2512,3321,2294,1351
12,90.51,354464.291,4611080.544,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1817,1765,1712,1605,2357,2645,2616,2774,2222,1499
13,100.91,354377.255,4611231.836,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1354,1396,1353,2065,3136,3686,3557,3889,2844,1733
14,19.39,354387.683,4611238.302,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1227,1354,1283,1709,2952,3377,3772,3768,2622,1540
15,144.24,353312.08,4610514.356,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,2302,2337,2475,2357,2834,3196,3544,3313,2851,2002
16,19.08,353209.644,4610826.375,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1763,1860,2307,2294,2525,2674,2599,2722,3050,2824
17,97.08,353220.474,4610822.554,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1610,1518,1642,1955,2085,2427,2038,2556,2887,2590
18,87.74,353131.318,4610836.072,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,2179,2138,2506,2231,2419,2720,2677,2702,2963,2522
19,88.6,353050.336,4610836.96,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,2053,2007,2331,2213,2497,2737,2517,2744,3059,2610
20,157.01,352931.074,4610821.209,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1934,1579,1359,1789,2579,2584,1952,2886,2266,1598
21,174.55,352825.091,4610867.219,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,2046,1954,2116,1928,2168,2480,2765,2401,2000,1576
22,73.04,353067.643,4610659.61,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1885,1880,2100,2021,2615,2780,2909,3056,2781,2092
23,26.48,353119.438,4610631.923,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1650,1751,1965,1517,2179,2151,2566,2246,1726,1229
24,39.74,353159.69,4610633.34,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1881,1678,1391,1393,2383,2745,2644,2964,1877,1188
25,26.96,353133.279,4610602.88,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1307,1042,907,1293,2305,2518,2865,2700,1870,1176
26,27.35,353058.002,4610574.574,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1081,1089,907,1420,2499,2989,3056,3357,2276,1414
27,30.45,353073.391,4610573.657,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1775,1477,1491,1744,2484,2961,2939,3291,2543,1689
28,32.68,353019.689,4610579.131,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2035,1959,1881,1690,2320,2666,2180,2650,2095,1537
29,20.69,352996.155,4610581.807,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1869,1703,1769,1601,2268,2483,2631,2762,2292,1696
30,108.61,352830.148,4610550.242,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1875,1721,1501,1948,2991,3213,2948,3437,2588,1752
