id,Area,X,Y,20200206,20200327,20200605,20200710,20200819,20200928,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12
0,463.59,353881.409,4610595.718,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2080,1993,1569,2087,3097,3544,3862,3653,2632,2311
1,316.48,353948.21,4610822.406,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2051,1807,1428,1697,2276,2822,2616,3080,1871,1230
2,53.3,353934.862,4610798.209,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1661,1882,1727,1439,2417,2972,3082,2978,2022,1285
3,20.45,353996.573,4610739.601,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1133,1162,1074,1475,2477,2868,3377,3003,2010,1336
4,100.1,354008.938,4610731.489,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1934,1875,1831,1954,2779,3170,3269,3358,2228,1581
5,77.66,353995.819,4610709.517,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,1446,1390,1414,1678,2492,2895,3017,3079,2526,1808
6,187.53,354077.713,4610823.775,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1758,1435,1263,1650,2430,2542,2240,2860,2353,1611
7,23.55,354069.869,4610808.0,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2160,1621,1419,1557,2497,2752,1871,2759,1907,1287
8,213.54,354172.53,4610853.384,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2969,2504,1420,1581,1916,1973,2280,2384,1716,1349
9,107.1,354052.739,4611027.357,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1936,1891,2277,2026,2641,2877,2719,2921,2521,1848
10,94.65,353970.383,4611014.122,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1708,1627,1585,1779,2403,2736,3138,2906,2788,2131
11,146.3,353991.785,4611014.558,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1888,1855,1722,1598,2235,2688,2373,2832,2009,1298
12,90.51,354464.291,4611080.544,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1622,1306,1344,1294,1717,2047,1641,2232,1985,1423
13,100.91,354377.255,4611231.836,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1805,1847,1643,2111,2899,3319,3283,3572,2702,1628
14,19.39,354387.683,4611238.302,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1085,1251,1108,1746,2609,2776,3629,3193,2721,1771
15,144.24,353312.08,4610514.356,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,2402,2454,2566,2394,2981,3178,3167,3188,2922,2089
16,19.08,353209.644,4610826.375,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1381,1510,2214,2073,2293,2369,2594,2344,3218,3000
17,97.08,353220.474,4610822.554,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1633,1625,1884,1819,2012,2164,2113,2255,3367,3197
18,87.74,353131.318,4610836.072,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1611,1876,2221,2024,2142,2296,2448,2385,2979,2763
19,88.6,353050.336,4610836.96,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1507,1791,2184,2116,2232,2400,2479,2446,3073,2852
20,157.01,352931.074,4610821.209,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1532,1185,1026,1897,2568,2827,2443,2925,2309,1639
21,174.55,352825.091,4610867.219,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,2025,2004,2107,1786,2044,2024,2439,2263,1856,1538
22,73.04,353067.643,4610659.61,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1716,1799,1901,2009,2335,2703,2702,2652,2443,1905
23,26.48,353119.438,4610631.923,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1369,1405,1573,1540,1956,2202,2284,2371,1747,1226
24,39.74,353159.69,4610633.34,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1390,1370,1121,1375,2145,2491,2553,2647,2109,1457
25,26.96,353133.279,4610602.88,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1314,1022,875,1279,2074,2415,2714,2420,1663,1212
26,27.35,353058.002,4610574.574,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1421,1514,1586,1722,2196,2446,2700,2744,3073,2228
27,30.45,353073.391,4610573.657,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1707,1707,1813,1728,2218,2534,2758,2826,2697,2094
