id,Area,X,Y,20200206,20200327,20200605,20200710,20200819,20200928,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12
0,463.59,353881.409,4610595.718,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1391,1664,1404,1885,2701,3186,3940,3229,2341,2133
1,316.48,353948.21,4610822.406,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1512,1666,1449,1449,2308,2586,2496,2658,1887,1299
2,53.3,353934.862,4610798.209,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1471,1663,1721,1385,2246,2647,2918,2956,1611,1063
3,20.45,353996.573,4610739.601,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1137,1032,937,1358,2228,2631,2963,2855,1626,1150
4,100.1,354008.938,4610731.489,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1508,1631,1618,1630,2306,2705,3123,3022,2084,1425
5,77.66,353995.819,4610709.517,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,1272,1282,1198,1503,2240,2563,2373,2767,2321,1726
6,187.53,354077.713,4610823.775,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1537,1291,1184,1581,2274,2476,2359,2524,1949,1374
7,23.55,354069.869,4610808.0,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1999,1524,1374,1476,1985,2221,1836,2418,1642,1075
8,213.54,354172.53,4610853.384,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2349,1942,1244,1364,1817,1936,2313,1846,1553,1134
9,107.1,354052.739,4611027.357,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1727,1682,1898,1809,2251,2485,2352,2613,2485,1833
10,94.65,353970.383,4611014.122,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1553,1605,1572,1749,2437,2755,3001,2907,2544,1861
11,146.3,353991.785,4611014.558,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1520,1554,1546,1526,2068,2298,2361,2467,2016,1378
12,90.51,354464.291,4611080.544,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1610,1325,1369,1318,1689,1880,1553,2015,1550,1126
13,100.91,354377.255,4611231.836,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1453,1319,1261,1628,2312,2731,3475,3024,2479,1579
14,19.39,354387.683,4611238.302,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1030,1195,1126,1478,2268,2573,3380,2904,2581,1741
15,144.24,353312.08,4610514.356,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,2099,2224,2477,2353,2627,2934,2949,2974,2674,1872
16,19.08,353209.644,4610826.375,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1306,1382,1967,1696,1734,1914,2382,2016,2592,2419
17,97.08,353220.474,4610822.554,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1301,1219,1596,1741,1920,2098,1997,2116,3013,2849
18,87.74,353131.318,4610836.072,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1512,1503,1855,1705,1821,1966,2274,2099,2561,2358
19,88.6,353050.336,4610836.96,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1504,1543,2047,1866,1980,2131,2479,2269,2715,2553
20,157.01,352931.074,4610821.209,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1274,1168,954,1767,2291,2612,2462,2730,2120,1462
21,174.55,352825.091,4610867.219,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1843,1765,1831,1526,1706,1829,2080,1737,1416,1214
22,73.04,353067.643,4610659.61,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1549,1459,1434,1542,1842,2298,2302,2519,1916,1411
23,26.48,353119.438,4610631.923,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1177,1211,1316,1347,1890,2047,2040,2086,1617,1143
24,39.74,353159.69,4610633.34,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1230,1198,970,1159,1920,2217,2279,2444,1793,1143
25,26.96,353133.279,4610602.88,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1266,1044,916,1245,1792,2036,2613,2214,1549,1067
26,27.35,353058.002,4610574.574,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1396,1426,1545,1587,2170,2507,2871,2717,2887,2297
27,30.45,353073.391,4610573.657,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1400,1374,1709,1608,2300,2577,2625,2793,2668,2192
28,32.68,353019.689,4610579.131,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1353,1394,1612,1679,1981,2162,2362,2208,2354,2011
29,20.69,352996.155,4610581.807,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1646,1551,1831,1581,1650,1701,2220,1915,1741,1405
30,108.61,352830.148,4610550.242,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1361,1413,1278,1599,2339,2587,2640,2864,2233,1539
31,71.85,352761.027,4610536.849,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1254,1210,1284,1852,2342,2580,2787,2677,2140,1711
32,165.96,352989.349,4610413.625,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1971,1615,1814,1879,2313,2402,2702,2489,2660,2102
33,88.61,353136.498,4610332.722,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1597,1620,1771,1637,2001,2249,2322,2364,1784,1238
34,272.57,353243.532,4610341.029,LLENA,LLENA,LLENA,LLENA,LLENA,LLENA,2568,2320,1977,2261,2782,2932,2646,3199,2262,1503
35,17.29,353357.8,4610611.679,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1307,1483,1251,1524,2339,2611,3276,2923,1739,1069
36,173.23,353366.943,4610597.495,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1759,1584,1270,1715,2184,2527,3091,2664,1657,1283
37,178.1,353530.936,4610473.541,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1967,2050,1645,1848,2421,2808,3284,3142,2056,1447
38,16.84,353544.581,4610483.682,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1429,1817,1717,1901,2509,2739,3387,2825,1897,1527
39,124.5,353628.683,4610414.093,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1632,1521,1311,1649,2906,3644,3904,3864,2360,1527
40,18.22,353629.565,4610421.678,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1823,1693,1639,2005,2581,2909,3429,2892,2289,1689
41,291.83,353638.762,4610668.759,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2130,2431,2429,2046,2500,2703,3341,2954,2419,1729
42,84.93,353623.057,4610679.751,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2065,2032,2478,2751,3157,3560,4056,3823,3321,2564
43,89.12,353642.131,4610774.237,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,1379,1375,1288,860,769,809,1755,1016,1096,767
44,154.75,353552.45,4611042.266,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1543,1403,1473,1143,1440,1490,1674,1410,1423,1074
45,128.35,353577.865,4611135.747,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1437,1408,1738,1709,1971,2050,2088,1967,2266,1771
46,98.28,353421.766,4611136.367,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,1808,1888,2019,1795,1919,1995,2310,1985,2112,1741
47,39.19,353544.061,4611230.715,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,968,859,670,807,1234,1417,2248,1650,1136,670
48,176.86,353521.357,4611229.9,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,993,902,729,727,1319,1453,2224,1507,1167,703
49,206.9,353408.682,4611360.041,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1562,1523,1708,2007,2464,2600,2567,2620,2710,2299
50,159.67,353146.681,4611143.438,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1920,1443,950,1024,1427,1610,1841,1707,1057,731
51,80.89,353182.078,4611149.225,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,899,642,482,492,561,557,544,508,488,371
52,36.36,353066.922,4611174.041,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1394,1217,1528,1271,1571,1746,2095,1876,1307,1005
53,285.58,353071.25,4611071.55,VACIA,VACIA,LLENA,LLENA,VACIA,VACIA,2180,2283,2722,2015,2666,2786,3595,2592,2957,2331
54,35.5,353058.079,4611085.157,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2952,3459,4538,3034,3093,3347,5298,3490,3757,3060
55,201.29,353133.869,4611372.578,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,2465,1995,1704,1662,2247,2446,1765,2541,2069,1463
56,124.63,353001.424,4611474.196,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1170,1068,860,1381,2248,2534,2665,2685,2494,1981
57,21.22,352949.87,4611458.994,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1373,1373,1522,1899,2416,2568,2856,2733,2948,2418
58,21.12,352957.269,4611448.362,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1297,1340,1237,1476,2322,2585,2378,2790,2600,1935
59,21.29,352943.856,4611451.506,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1571,1418,1624,1476,2322,2585,3158,2790,2600,1935
60,16.81,352936.198,4611447.294,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1596,1841,2335,2349,2698,3048,3530,3212,3178,2576
61,18.1,352930.53,4611437.87,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1619,1713,1737,2349,2698,3048,2781,3212,3178,2576
62,23.42,352936.005,4611432.014,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1394,1344,1325,1209,1973,2244,1961,2492,1996,1390
63,20.73,352921.836,4611418.934,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1001,945,972,1209,1973,2244,2366,2492,1996,1390
64,54.06,352886.985,4611381.78,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1186,1111,901,1070,1730,2021,2971,2202,1810,1306
65,9.92,352906.806,4611393.112,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1014,879,885,748,1256,1411,1733,1519,1441,1157
66,9.24,352902.495,4611387.067,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1014,879,885,748,1256,1411,1733,1519,1441,1157
67,7.99,352898.345,4611381.008,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,947,913,732,1070,1730,2021,2089,2202,1810,1306
68,8.12,352889.157,4611369.207,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1442,1015,821,911,1157,1368,1812,1571,1419,1113
69,8.33,352884.781,4611362.307,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1045,854,789,911,1157,1368,1136,1571,1419,1113
70,65.24,352853.216,4611348.959,VACIA,LLENA,LLENA,LLENA,LLENA,VACIA,1184,953,777,1374,2263,2624,2222,2850,2406,1942
71,44.96,352900.255,4611524.723,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1296,1263,1115,1280,1833,2081,2285,2238,2252,1554
72,23.51,352786.309,4611243.768,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1684,1435,1427,1179,1815,2099,2271,2207,1283,897
73,23.98,352781.532,4611239.696,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1684,1435,1427,1179,1815,2099,2271,2207,1283,897
74,82.01,352771.534,4611225.293,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1750,1576,1206,1379,1761,1931,2094,2067,1336,939
75,220.5,352672.238,4611179.334,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1485,1546,1568,1297,2563,2989,4022,3241,1557,836
76,24.8,352689.863,4611188.105,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,910,789,678,1395,2676,3205,3149,3485,1677,871
77,128.61,352612.349,4611223.401,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1708,1453,1348,1470,1904,2067,1760,2083,1871,1396
78,267.2,352552.326,4610920.838,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1616,1473,1199,1252,2572,3130,3295,3599,1640,804
79,132.28,352465.874,4610904.538,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1414,1211,1022,1188,2113,2377,2645,2663,1825,1272
80,68.66,352424.787,4611121.442,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1131,1153,1111,1873,2111,2344,2845,2731,2919,2474
