,id,Area,X,Y,Estado,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12,id_img
1716,625,70.52,354181.917,4609846.741,VACIA,1555,1489,1770,1648,1893,2177,2086,2265,1882,1455,625_20200928
1717,634,72.43,354445.758,4609841.055,VACIA,1713,1762,1705,2004,2831,3221,3730,3656,2207,1488,634_20200928
1718,635,150.4,354593.99600000004,4609841.56,LLENA,1879,1647,1848,1730,1931,1979,2035,2066,2225,1939,635_20200928
1719,637,172.08,354154.219,4609286.426,LLENA,2406,2088,2070,2259,2419,2281,2312,2437,1854,1577,637_20200928
1720,638,242.86,356879.34,4608213.972,VACIA,1248,1286,1212,1611,1959,2098,2360,2259,2080,1521,638_20200928
1721,639,177.48,356851.644,4608310.416,VACIA,1911,1585,1442,1973,2585,2890,2075,2985,2316,1711,639_20200928
1722,641,348.9,357105.31,4608324.977,LLENA,2074,1446,1412,1687,2291,2479,1816,2633,2073,1384,641_20200928
1723,642,78.07,357152.50700000004,4608237.641,VACIA,1420,1373,1100,1618,2446,2840,2392,3017,2234,1395,642_20200928
1724,644,131.09,356843.172,4608501.871,VACIA,1871,1768,1771,2096,2394,2660,1958,2754,2101,1615,644_20200928
1725,646,219.91,356903.995,4608630.7530000005,VACIA,2213,1524,1182,1470,2137,2367,1603,2922,1795,1105,646_20200928
1726,647,57.27,356932.929,4608697.208000001,VACIA,1429,1355,1264,2561,2920,3180,2858,3555,3447,2719,647_20200928
1727,648,127.04,357044.524,4608756.863,LLENA,2035,1707,1859,1103,2110,2507,3221,2769,1680,1004,648_20200928
1728,649,149.22,356800.787,4608763.078,LLENA,2131,1499,1454,2708,2867,2964,2197,3353,2715,2168,649_20200928
1729,650,124.89,356856.29,4608821.927,VACIA,2338,2122,2265,2168,3291,3547,3598,3939,2999,1947,650_20200928
1730,651,144.07,356945.29600000003,4608848.272,VACIA,1809,1800,1710,2557,3045,3343,2758,3438,2901,2229,651_20200928
1731,652,62.93,357002.302,4608910.65,VACIA,1523,1382,1187,1292,2190,2533,2492,2793,1861,1222,652_20200928
1732,653,81.84,357122.862,4609330.284,LLENA,1649,1423,1353,2199,2838,3170,3222,3393,2427,1743,653_20200928
1733,654,106.8,357279.74299999996,4609690.352,VACIA,1816,1850,2025,1922,2360,2619,2988,2984,2257,1762,654_20200928
1734,655,119.7,357289.08,4609615.531,VACIA,1239,1226,1089,1346,1970,2255,2161,2418,1851,1238,655_20200928
1735,657,95.71,357420.667,4609780.344,VACIA,1450,1470,1622,1630,2227,2425,2735,2474,2019,1519,657_20200928
1736,658,67.51,357355.126,4609834.374,VACIA,1138,1031,855,1290,2299,2662,2538,3128,1950,1250,658_20200928
1737,660,62.08,356987.44200000004,4609877.333000001,VACIA,1035,997,781,1035,1698,2014,2538,2429,1605,992,660_20200928
1738,661,53.81,357258.146,4609788.481000001,VACIA,1472,1469,1479,1748,2294,2526,2310,2528,2089,1563,661_20200928
1739,663,108.16,355830.34,4608999.205,LLENA,1525,1161,857,1691,2501,2924,3338,3301,2216,1523,663_20200928
1740,664,83.28,355923.84,4609106.2639999995,LLENA,1987,1500,1217,2247,2906,3248,3247,3372,2619,2092,664_20200928
1741,665,73.85,356019.64,4609376.265,VACIA,2201,2359,2545,2225,2557,2801,3372,3013,2512,1832,665_20200928
1742,668,54.01,356093.342,4609524.448,LLENA,1233,1025,659,1342,2209,2521,1767,2702,2035,1382,668_20200928
1743,670,166.17,357064.19399999996,4610297.304,VACIA,1955,2117,2398,1903,2273,2388,2844,2279,2408,1911,670_20200928
1744,671,112.9,357192.167,4610454.655,LLENA,2142,2001,1496,1461,2441,2870,3259,3218,2030,1373,671_20200928
1745,672,516.45,356915.064,4610580.806,VACIA,1949,2621,2130,2476,3131,3362,2492,3575,2655,1953,672_20200928
1746,673,166.0,356945.094,4610618.955,VACIA,2575,2729,3056,2348,3063,3254,3694,3587,2660,1954,673_20200928
1747,675,292.1,355985.636,4610232.009,LLENA,1514,1159,727,865,1386,1494,1594,1538,1256,1107,675_20200928
1748,676,178.57,355938.35799999995,4610431.478,LLENA,1589,1383,1250,1611,2571,3046,3748,3386,2185,1360,676_20200928
1749,677,107.38,355903.631,4610564.066000001,LLENA,1774,1447,1121,2016,2505,2613,2317,2825,2125,1557,677_20200928
1750,679,55.62,354846.16299999994,4609476.683,VACIA,1393,1395,1211,1199,2034,2350,3023,2586,1722,1076,679_20200928
1751,680,342.05,354510.021,4609421.024,VACIA,1885,1810,2006,1773,2994,3451,2738,3635,2375,1455,680_20200928
1752,685,286.46,354861.719,4611009.64,VACIA,1378,1460,1386,1258,2338,2815,2860,3170,1679,1140,685_20200928
1753,686,54.83,354862.249,4610971.088,VACIA,1257,1268,1422,1629,2545,3049,3977,3294,2075,1452,686_20200928
1754,687,65.21,354507.086,4610792.989,VACIA,1885,1739,1644,1576,2168,2409,2236,2527,2231,1568,687_20200928
1755,688,180.31,355096.593,4611137.596,VACIA,1138,1100,1106,1691,2295,2526,2564,2774,2050,1351,688_20200928
1756,690,112.07,355032.44399999996,4611182.571,LLENA,1916,1675,1666,1603,1801,1885,1873,1869,1641,1493,690_20200928
1757,692,64.59,355864.096,4610863.002,VACIA,2145,2142,2467,1892,1940,1979,2830,2066,2006,1674,692_20200928
1758,693,99.3,355872.172,4610834.047,VACIA,1927,1904,1985,2118,2233,2295,2109,2438,2429,2024,693_20200928
1759,694,77.24,355664.469,4611065.923,VACIA,1479,1448,1601,1446,1597,1628,1760,1611,1650,1460,694_20200928
1760,696,374.42,357972.20399999997,4611504.214,VACIA,2460,1781,1601,1795,2807,3470,2483,3419,2051,1277,696_20200928
1761,697,90.92,357985.04600000003,4611492.648,VACIA,2066,1662,1634,1690,2428,2844,2329,3220,2055,1262,697_20200928
1762,698,94.4,358144.414,4611618.988,VACIA,1379,1341,1229,1090,2224,2733,3156,2970,1531,812,698_20200928
1763,699,462.77,357909.23,4611756.213,VACIA,1800,1871,2097,1784,2773,3223,3396,3353,2183,1516,699_20200928
1764,700,193.78,357939.63399999996,4611787.643999999,LLENA,1027,1003,872,1291,2723,3402,3326,3821,1729,891,700_20200928
1765,701,66.87,358010.102,4610554.44,VACIA,1576,1609,1650,1703,2066,2262,2189,2381,2323,1722,701_20200928
